gene	srci	threshold_stability	n_enhancers	n_core_strict	n_regional_strict	n_regional_domains_strict	regional_evidence_strict	domain_diversity_strict	n_q01_enhancers	min_enhancer_q	rna_mean	rna_detected_fraction	srci_rank	confirmed_mixed	threshold_stable_mixed	above_elbow
HTRA4	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0002680267	0.0005211047420531526	5808	False	False	False
HTT	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.030506674	0.06435643564356436	5809	False	False	False
HUNK	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0116495695	0.02618551328817092	5810	False	False	False
HUS1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.007800511	0.01615424700364773	5811	False	False	False
HUS1B	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0	0.0	5812	False	False	False
HUWE1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.06255843	0.1275403856175091	5813	False	False	False
HVCN1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.00497151	0.010031266284523188	5814	False	False	False
HYAL1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0010744362	0.0028660760812923396	5815	False	False	False
HYAL2	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.019900637	0.04247003647733194	5816	False	False	False
HYAL3	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.004135067	0.008207399687337155	5817	False	False	False
HYAL4	0.0	0	11	0	0	0	0.0	0.0	0	1.0	0.0	0.0	5818	False	False	False
HYDIN	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0043384223	0.010812923397602918	5819	False	False	False
HYI	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.04472033	0.09184471078686816	5820	False	False	False
HYKK	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0010044402	0.0016935904116727463	5821	False	False	False
HYLS1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.014083575	0.029442417926003127	5822	False	False	False
HYOU1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.020857427	0.04755080771235018	5823	False	False	False
HYPK	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0069650337	0.016675351745700884	5824	False	False	False
IAPP	0.0	0	10	0	0	0	0.0	0.0	0	1.0	0.0	0.0	5825	False	False	False
IARS2	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.019640269	0.041688379364252216	5826	False	False	False
IBA57	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0036772555	0.008207399687337155	5827	False	False	False
IBSP	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0015988842	0.004168837936425221	5828	False	False	False
IBTK	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.029344697	0.05927566440854612	5829	False	False	False
ICA1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.021499278	0.04247003647733194	5830	False	False	False
ICAM1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0014436488	0.0035174570088587808	5831	False	False	False
ICAM2	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.005182095	0.010812923397602918	5832	False	False	False
ICAM3	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0014585955	0.0026055237102657635	5833	False	False	False
ICAM4	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0002917759	0.0006513809275664409	5834	False	False	False
ICAM5	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0038419212	0.009119332985930172	5835	False	False	False
ICE1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.016092656	0.03491401771756123	5836	False	False	False
ICE2	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.015020839	0.03269932256383533	5837	False	False	False
ICOS	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0	0.0	5838	False	False	False
ICOSLG	0.0	0	14	0	0	0	0.0	0.0	0	1.0	0.00025734422	0.000781657113079729	5839	False	False	False
ID1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.04477915	0.09119332985930172	5840	False	False	False
ID2	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.2485282	0.3669880145909328	5841	False	False	False
ID3	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.09004034	0.16336633663366337	5842	False	False	False
ID4	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.10560651	0.20323084940072955	5843	False	False	False
IDE	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.004402982	0.010552371026576341	5844	False	False	False
IDH1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.057590395	0.11842105263157894	5845	False	False	False
IDH2	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.10208348	0.19528400208441896	5846	False	False	False
IDH3A	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.02288082	0.05093798853569567	5847	False	False	False
IDH3B	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.04253805	0.0848097967691506	5848	False	False	False
IDH3G	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0735898	0.13705054715997916	5849	False	False	False
IDI1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.11775667	0.21677957269411152	5850	False	False	False
IDI2	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0	0.0	5851	False	False	False
IDNK	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.006974339	0.016675351745700884	5852	False	False	False
IDO1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0	0.0	5853	False	False	False
IDO2	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.00042730587	0.0005211047420531526	5854	False	False	False
IDS	0.0	0	16	0	0	0	0.0	0.0	0	1.0	0.3497955	0.5016935904116727	5855	False	False	False
IDUA	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0021342388	0.004559666492965086	5856	False	False	False
IER3	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.010386656	0.01862949452840021	5857	False	False	False
IER3IP1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.049410887	0.10356956748306409	5858	False	False	False
IER5	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.016478417	0.035044293903074515	5859	False	False	False
IER5L	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.010669545	0.024491922876498175	5860	False	False	False
IFFO1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.008816506	0.018759770713913496	5861	False	False	False
IFI27	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.018139282	0.029442417926003127	5862	False	False	False
IFI27L1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.08085941	0.15020844189682125	5863	False	False	False
IFI27L2	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.13019674	0.23931735278791036	5864	False	False	False
IFI30	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.00019412761	0.0005211047420531526	5865	False	False	False
IFI35	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0024328332	0.004299114121938509	5866	False	False	False
IFI44	0.0	0	18	0	0	0	0.0	0.0	0	1.0	0.004907815	0.011073475768629494	5867	False	False	False
IFI44L	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.009894427	0.02071391349661282	5868	False	False	False
IFI6	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.025319569	0.051198540906722254	5869	False	False	False
IFIT1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0055720108	0.012506513809275664	5870	False	False	False
IFIT1B	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0	0.0	5871	False	False	False
IFIT2	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0055746697	0.011203751954142784	5872	False	False	False
IFIT3	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0028836254	0.00638353309015112	5873	False	False	False
IFIT5	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.02180661	0.04312141740489839	5874	False	False	False
IFITM1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0019614422	0.004429390307451798	5875	False	False	False
IFITM10	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.015657568	0.034653465346534656	5876	False	False	False
IFITM2	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.025017742	0.04768108389786347	5877	False	False	False
IFITM3	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.046206824	0.09054194893173528	5878	False	False	False
IFITM5	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0007057618	0.0018238665971860343	5879	False	False	False
IFNAR1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.024439096	0.05132881709223554	5880	False	False	False
IFNAR2	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.009309711	0.01836894215737363	5881	False	False	False
IFNG	0.0	0	17	0	0	0	0.0	0.0	0	1.0	0.0	0.0	5882	False	False	False
IFNGR1	0.0	0	17	0	0	0	0.0	0.0	0	1.0	0.011720823	0.02566440854611777	5883	False	False	False
IFNGR2	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.039821364	0.08103178738926524	5884	False	False	False
IFNLR1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.00039353454	0.0010422094841063053	5885	False	False	False
IFRD1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.023477815	0.048071912454403336	5886	False	False	False
IFRD2	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.013964127	0.0297029702970297	5887	False	False	False
IFT122	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.01081067	0.023840541948931735	5888	False	False	False
IFT140	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.016242746	0.03348097967691506	5889	False	False	False
IFT172	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.010254574	0.02344971339239187	5890	False	False	False
IFT20	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0547648	0.10852006253256904	5891	False	False	False
IFT22	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.06385832	0.11750911933298593	5892	False	False	False
IFT27	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.044946857	0.09132360604481501	5893	False	False	False
IFT43	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0657001	0.12714955706096925	5894	False	False	False
IFT46	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.013000912	0.03152683689421574	5895	False	False	False
IFT52	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.03488875	0.07113079729025534	5896	False	False	False
IFT57	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.046895955	0.09640437727983325	5897	False	False	False
IFT74	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0076852217	0.015502866076081293	5898	False	False	False
IFT81	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.016481772	0.03817092235539343	5899	False	False	False
IFT88	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.014963092	0.02996352266805628	5900	False	False	False
IGBP1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.056029588	0.10838978634705576	5901	False	False	False
IGDCC3	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.01933599	0.04142782699322564	5902	False	False	False
