gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	mean_core_concordance	complexity_rank
BMPR1B	20	0	2	18	1	0.017438910427833354	0.0	0.019158601297000165		158
GDPD2	20	0	2	18	1	0.01741453591234359	0.0	0.019131823154752783		159
CDC37L1	20	0	2	18	1	0.017011437660126867	0.0	0.018688974461326852		160
ATG4A	20	0	1	19	1	0.02686493034351054	0.0	0.018621350723543654		161
OR51B5	17	0	2	15	1	0.01684040370543093	0.0	0.01850107445691839		162
TMEM255A	20	0	1	19	1	0.026567926851198066	0.0	0.018415483590230805		163
CEBPB	20	0	2	18	1	0.016618995762501296	0.0	0.018257832970007166		164
KCTD19	20	0	2	18	1	0.01652155558893935	0.0	0.018150783997922058		165
IDH1	20	0	2	18	1	0.01632378777418999	0.0	0.017933513846335375		166
ACVR1C	20	0	1	19	1	0.025790825806155483	0.0	0.01787683819184935		167
NFKB1	20	0	1	19	1	0.02576849782920613	0.0	0.0178613616175793		168
STMN2	20	0	2	18	1	0.01618612319063152	0.0	0.017782273843123662		169
EXOSC2	20	0	2	18	1	0.015822730099295263	0.0	0.017383045727364557		170
HOXA1	20	0	1	19	1	0.02496736105627341	0.0	0.01730605592217809		171
GPR141	20	0	1	19	1	0.02400264659624926	0.0	0.016637366814166943		172
KCNE3	20	0	1	19	1	0.011914885954786077	0.0	0.00825876960625326		173
CD109	20	0	1	19	1	0.007789587467362189	0.0	0.005399330590727186		174
UTP15	20	0	0	20	0	0.0	0.0	0.0		175
IBSP	20	0	0	20	0	0.0	0.0	0.0		176
NWD2	20	0	0	20	0	0.0	0.0	0.0		177
LRRC14B	20	0	0	20	0	0.0	0.0	0.0		178
L3MBTL3	20	0	0	20	0	0.0	0.0	0.0		179
NDST4	20	0	0	20	0	0.0	0.0	0.0		180
PHETA2	20	0	0	20	0	0.0	0.0	0.0		181
KANK3	20	0	0	20	0	0.0	0.0	0.0		182
ABI3	20	0	0	20	0	0.0	0.0	0.0		183
STXBP3	20	0	0	20	0	0.0	0.0	0.0		184
