gene	srci	threshold_stability	n_enhancers	n_core_strict	n_regional_strict	n_regional_domains_strict	regional_evidence_strict	domain_diversity_strict	n_q01_enhancers	min_enhancer_q	rna_mean	rna_detected_fraction	srci_rank	confirmed_mixed	threshold_stable_mixed	above_elbow
hdlbpa	0.12058889489923345	4	20	1	4	2	0.0371646300360639	0.8112781244591328	8	0.0333333333333333	24.854330878448575	0.996662958843159	47	True	True	False
lhfpl6	0.11936102163667284	4	20	3	5	2	0.037966028102521504	0.9709505944546688	15	0.0142857142857142	1.3706280558605235	0.5482091212458287	48	True	True	False
btg2	0.11699923207606963	2	20	0	2	1	0.19387602272311422	0.0	2	0.05	14.392755966934432	0.9861179087875417	49	False	True	False
lft1	0.11592760314559666	4	20	1	3	2	0.0507458138906869	0.9182958340544894	4	0.0666666666666666	1.0136617014336107	0.4711902113459399	50	True	True	False
msx3	0.11437515209838131	4	20	1	3	2	0.0360188879336056	0.9182958340544894	5	0.02	1.7412646940292402	0.5335261401557286	51	True	True	False
osr1	0.11322306184930367	2	20	0	6	2	0.056922350731215696	0.7219280948873623	11	0.01	1.281742571258637	0.5077641824249166	52	False	True	False
aldob	0.11182777150848457	3	20	0	6	1	0.095690494733981	0.0	6	0.025	40.27387228989623	0.9983092324805339	53	False	True	False
emx3	0.10782279344544082	3	20	2	4	1	0.1093416674713379	0.0	8	0.02	1.4862208535204877	0.5316129032258065	54	True	True	False
jcada	0.10756989779245885	2	20	2	4	2	0.054824850817199004	0.8112781244591328	11	0.0166666666666666	1.6651317312261262	0.5498998887652947	55	False	True	False
tcf7l2	0.10528250408935734	3	20	2	5	2	0.034886226139298405	0.9709505944546688	15	0.0285714285714285	2.6822960093881316	0.7953281423804227	56	True	True	False
pax6a	0.10285912033107902	3	20	9	3	2	0.026688227665174702	0.9182958340544894	18	0.009090909090909	3.4129110299003282	0.661979977753059	57	True	True	False
foxa	0.10208270551245098	4	20	1	5	2	0.04627969537470179	0.9709505944546688	6	0.025	0.6016828018531327	0.3255172413793103	58	True	True	False
csrp1a	0.0930752123027915	4	20	2	2	2	0.0581407000444316	1.0	5	0.0333333333333333	0.7474736503445363	0.35581757508342604	59	True	True	False
msx1b	0.09192894479435364	4	20	2	4	2	0.0323460956240017	0.8112781244591328	9	0.0333333333333333	7.585644467406745	0.6899221357063404	60	True	True	False
mych	0.09076577111205941	4	20	2	3	3	0.025892889930572302	0.9999999999999998	5	0.05	20.480470513364256	0.9802002224694104	61	True	True	False
tdgf1	0.09030927163425775	3	20	0	4	4	0.0474632111649496	1.0	8	0.0333333333333333	1.1914740001341955	0.6187319243604005	62	False	True	False
