gene	n_candidate_peaks_tested	n_significant_positive_links	latent_mask_fraction	mask_low_center	mask_high_center	control_p99	n_enhancers_retained	rank_eligible	note	median_difference_structure_score	mean_difference_structure_score	top3_mean_difference_structure_score	max_difference_structure_score	std_difference_structure_score	absolute_divergence_score	absolute_rank
crabp2b	74	43	0.14420467185761957	0.045565398907283325	0.25253165403943484	30.957822240943546	43	True		1.0337067312951849	1.1112894733622078	1.915717760816067	1.9605923801258922	0.42485703393145924	1.3865111431035375	67.0
pcdh10b	46	44	0.0968186874304783	0.03735922977371345	0.34538195902676866	63.577656723252794	44	True		0.9793403713401339	1.0455380894243078	1.995477070417973	2.033854282157719	0.4699568146432159	1.3857950509712695	68.0
creb3l1	66	46	0.019799777530589546	0.02485936905182235	0.4608738422036473	36.80295320321678	46	True		1.0018368372856714	1.0872561520930535	1.9603079234746217	2.0800314805445073	0.44920139119751246	1.3852252717612514	69.0
rx3	66	53	0.037730812013348165	0.007747508173868344	0.40225599531464645	109.14233860234427	53	True		0.8959951286562079	1.0155893527749638	2.1188046706740757	2.2544209456572233	0.5158961769858861	1.385118945463355	70.0
msgn1	90	57	0.08907675194660734	0.010448309019556137	0.473859322695548	180.18875716105742	57	True		1.0376538778116458	1.0958237256167307	1.8993454509295724	2.058273216110487	0.4256724872566509	1.3823305070588163	71.0
zfand5a	55	26	0.08209121245828699	0.06805599339381961	0.3597000621065971	31.28990240622788	26	True		1.1526929489771969	1.1134656232632412	1.7210507639488692	1.748659700164788	0.44128228019624516	1.3800360749658658	72.0
trps1	45	39	0.39007786429365965	0.07166076859861507	0.25494500974692824	16.345987694711702	39	True		1.1323819429881434	1.0396037370994737	1.7422127168114265	1.9231624463604078	0.41048324319658036	1.3763142525174565	73.0
dmd	27	14	0.007341490545050055	0.009319702411507893	0.28209287918632664	23.94337107088033	14	True		1.2234657143802574	1.1620648513124399	1.6039657880804932	1.6424635468580246	0.3718373546166059	1.3756657438603517	74.0
mab21l2	51	43	0.03937708565072302	0.012530091361990904	0.4909486479935087	44.089505425552005	43	True		1.0091052345998959	0.9539063201576709	1.9238425951723137	2.208357157027196	0.440110020054388	1.3750001788288628	75.0
rab11fip4a	63	40	0.052369299221357066	0.027637636337758342	0.2265608282717318	46.535973882200366	40	True		1.023804165638621	1.0393157893303537	1.900818904181218	2.073412304472849	0.4843689707539786	1.3746100610556597	76.0
arf5	26	22	0.08725250278086763	0.04954498089045998	0.18534804607067523	15.568984440480445	22	True		1.2172375738191978	1.1699239177378458	1.6104309115666806	1.6354643845859744	0.3665328293978897	1.374514908918191	77.0
