gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	screen_rank
TCEAL6	8	0	0	8	0	0.0	0.0	0.0	9020
APBB3	15	0	0	15	0	0.0	0.0	0.0	9021
POMK	11	0	0	11	0	0.0	0.0	0.0	9022
HOXD1	20	0	0	20	0	0.0	0.0	0.0	9023
IER5	20	0	0	20	0	0.0	0.0	0.0	9024
ATXN2L	18	0	0	18	0	0.0	0.0	0.0	9025
MOSPD3	20	0	0	20	0	0.0	0.0	0.0	9026
SH3BP4	20	0	0	20	0	0.0	0.0	0.0	9027
GANAB	20	0	0	20	0	0.0	0.0	0.0	9028
COX7A2	20	0	0	20	0	0.0	0.0	0.0	9029
ZNF771	20	0	0	20	0	0.0	0.0	0.0	9030
SNN	20	0	0	20	0	0.0	0.0	0.0	9031
MMP11	20	0	0	20	0	0.0	0.0	0.0	9032
EXTL3	20	0	0	20	0	0.0	0.0	0.0	9033
RCBTB2	20	0	0	20	0	0.0	0.0	0.0	9034
RRAGC	20	0	0	20	0	0.0	0.0	0.0	9035
ZC3H3	20	0	0	20	0	0.0	0.0	0.0	9036
NOL9	20	0	0	20	0	0.0	0.0	0.0	9037
C16orf74	20	0	0	20	0	0.0	0.0	0.0	9038
AMTN	12	0	0	12	0	0.0	0.0	0.0	9039
PSMB9	20	0	0	20	0	0.0	0.0	0.0	9040
ZNF285	8	0	0	8	0	0.0	0.0	0.0	9041
HLA-DOB	20	0	0	20	0	0.0	0.0	0.0	9042
OR51E2	20	0	0	20	0	0.0	0.0	0.0	9043
PLCB3	20	0	0	20	0	0.0	0.0	0.0	9044
RPA1	20	0	0	20	0	0.0	0.0	0.0	9045
POLH	20	0	0	20	0	0.0	0.0	0.0	9046
SUFU	20	0	0	20	0	0.0	0.0	0.0	9047
CSDC2	20	0	0	20	0	0.0	0.0	0.0	9048
FBXL8	20	0	0	20	0	0.0	0.0	0.0	9049
LARP6	20	0	0	20	0	0.0	0.0	0.0	9050
ZNF527	13	0	0	13	0	0.0	0.0	0.0	9051
ECM2	17	0	0	17	0	0.0	0.0	0.0	9052
WDR55	18	0	0	18	0	0.0	0.0	0.0	9053
CNTROB	20	0	0	20	0	0.0	0.0	0.0	9054
MAPK12	20	0	0	20	0	0.0	0.0	0.0	9055
TECR	20	0	0	20	0	0.0	0.0	0.0	9056
NUP107	20	0	0	20	0	0.0	0.0	0.0	9057
SARS2	20	0	0	20	0	0.0	0.0	0.0	9058
TMEM52	20	0	0	20	0	0.0	0.0	0.0	9059
NOMO1	10	0	0	10	0	0.0	0.0	0.0	9060
CERS2	20	0	0	20	0	0.0	0.0	0.0	9061
SUMO4	19	0	0	19	0	0.0	0.0	0.0	9062
ZNF417	20	0	0	20	0	0.0	0.0	0.0	9063
FBXL16	20	0	0	20	0	0.0	0.0	0.0	9064
ACSM2B	20	0	0	20	0	0.0	0.0	0.0	9065
ZNF570	13	0	0	13	0	0.0	0.0	0.0	9066
RGPD5	12	0	0	12	0	0.0	0.0	0.0	9067
LGALS13	16	0	0	16	0	0.0	0.0	0.0	9068
FAM76A	20	0	0	20	0	0.0	0.0	0.0	9069
GSX2	20	0	0	20	0	0.0	0.0	0.0	9070
PNKP	20	0	0	20	0	0.0	0.0	0.0	9071
POLR2A	20	0	0	20	0	0.0	0.0	0.0	9072
ATP5PF	20	0	0	20	0	0.0	0.0	0.0	9073
COG4	20	0	0	20	0	0.0	0.0	0.0	9074
KLHDC8B	20	0	0	20	0	0.0	0.0	0.0	9075
NDUFA3	20	0	0	20	0	0.0	0.0	0.0	9076
SSC4D	20	0	0	20	0	0.0	0.0	0.0	9077
MOB4	20	0	0	20	0	0.0	0.0	0.0	9078
PATL1	20	0	0	20	0	0.0	0.0	0.0	9079
BNIP3	20	0	0	20	0	0.0	0.0	0.0	9080
LINGO3	20	0	0	20	0	0.0	0.0	0.0	9081
TMEM17	20	0	0	20	0	0.0	0.0	0.0	9082
PNLIPRP3	20	0	0	20	0	0.0	0.0	0.0	9083
TUBAL3	20	0	0	20	0	0.0	0.0	0.0	9084
CTCF	20	0	0	20	0	0.0	0.0	0.0	9085
DIMT1	20	0	0	20	0	0.0	0.0	0.0	9086
TOLLIP	20	0	0	20	0	0.0	0.0	0.0	9087
SMIM10L2A	14	0	0	14	0	0.0	0.0	0.0	9088
ZNF732	9	0	0	9	0	0.0	0.0	0.0	9089
PRPF38B	20	0	0	20	0	0.0	0.0	0.0	9090
BAHCC1	20	0	0	20	0	0.0	0.0	0.0	9091
PDC	12	0	0	12	0	0.0	0.0	0.0	9092
CLDN12	20	0	0	20	0	0.0	0.0	0.0	9093
NOLC1	20	0	0	20	0	0.0	0.0	0.0	9094
AJM1	20	0	0	20	0	0.0	0.0	0.0	9095
SLC25A5	20	0	0	20	0	0.0	0.0	0.0	9096
ILVBL	20	0	0	20	0	0.0	0.0	0.0	9097
HERPUD2	20	0	0	20	0	0.0	0.0	0.0	9098
NUDT6	14	0	0	14	0	0.0	0.0	0.0	9099
B3GAT3	20	0	0	20	0	0.0	0.0	0.0	9100
PCDHB13	20	0	0	20	0	0.0	0.0	0.0	9101
C1orf216	20	0	0	20	0	0.0	0.0	0.0	9102
LAMC2	20	0	0	20	0	0.0	0.0	0.0	9103
CFAP97D2	20	0	0	20	0	0.0	0.0	0.0	9104
RIOK1	20	0	0	20	0	0.0	0.0	0.0	9105
FAM83D	20	0	0	20	0	0.0	0.0	0.0	9106
ORAI2	20	0	0	20	0	0.0	0.0	0.0	9107
NUDCD2	20	0	0	20	0	0.0	0.0	0.0	9108
OGN	11	0	0	11	0	0.0	0.0	0.0	9109
HCK	20	0	0	20	0	0.0	0.0	0.0	9110
CCNA2	20	0	0	20	0	0.0	0.0	0.0	9111
