gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	screen_rank
elf1	20	6	0	14	0	0.0	0.0	0.0	237
otx1	20	7	0	13	0	0.0	0.0	0.0	238
tp63	20	8	0	12	0	0.0	0.0	0.0	239
hoxb9a	20	4	0	16	0	0.0	0.0	0.0	240
prickle1b	20	5	0	15	0	0.0	0.0	0.0	241
myf5	20	10	0	10	0	0.0	0.0	0.0	242
otx2b	20	9	0	11	0	0.0	0.0	0.0	243
trps1	20	3	0	17	0	0.0	0.0	0.0	244
hoxb7a	20	5	0	15	0	0.0	0.0	0.0	245
zeb1b	20	3	0	17	0	0.0	0.0	0.0	246
her1	20	9	0	11	0	0.0	0.0	0.0	247
sox13	20	5	0	15	0	0.0	0.0	0.0	248
sox19a	20	4	0	16	0	0.0	0.0	0.0	249
her7	20	6	0	14	0	0.0	0.0	0.0	250
tagln2	20	1	0	19	0	0.0	0.0	0.0	251
cdh1	20	3	0	17	0	0.0	0.0	0.0	252
six4a	20	3	0	17	0	0.0	0.0	0.0	253
zeb2b	20	4	0	16	0	0.0	0.0	0.0	254
snai1a	20	2	0	18	0	0.0	0.0	0.0	255
rab11fip4a	20	3	0	17	0	0.0	0.0	0.0	256
sp5l	20	2	0	18	0	0.0	0.0	0.0	257
mcm3	20	1	0	19	0	0.0	0.0	0.0	258
her8a	20	3	0	17	0	0.0	0.0	0.0	259
ets2	20	2	0	18	0	0.0	0.0	0.0	260
cdx1a	20	2	0	18	0	0.0	0.0	0.0	261
tbx6	20	5	0	15	0	0.0	0.0	0.0	262
six7	20	4	0	16	0	0.0	0.0	0.0	263
cfl1l	20	1	0	19	0	0.0	0.0	0.0	264
tcf7	20	3	0	17	0	0.0	0.0	0.0	265
nsd2	20	1	0	19	0	0.0	0.0	0.0	266
flrt3	20	1	0	19	0	0.0	0.0	0.0	267
meis3	20	2	0	18	0	0.0	0.0	0.0	268
apoc1	20	0	0	20	0	0.0	0.0	0.0	269
ctcf	20	0	0	20	0	0.0	0.0	0.0	270
perp	20	5	0	15	0	0.0	0.0	0.0	271
rnd1b	20	1	0	19	0	0.0	0.0	0.0	272
tuba1a	20	1	0	19	0	0.0	0.0	0.0	273
cdkn1ca	20	0	0	20	0	0.0	0.0	0.0	274
nasp	20	1	0	19	0	0.0	0.0	0.0	275
eve1	20	1	0	19	0	0.0	0.0	0.0	276
plagl2	20	0	0	20	0	0.0	0.0	0.0	277
itm2cb	20	1	0	19	0	0.0	0.0	0.0	278
klf8	20	0	0	20	0	0.0	0.0	0.0	279
lgals3b	20	3	0	17	0	0.0	0.0	0.0	280
sall3b	20	0	0	20	0	0.0	0.0	0.0	281
esrra	20	0	0	20	0	0.0	0.0	0.0	282
rbbp4	20	0	0	20	0	0.0	0.0	0.0	283
nap1l1	20	0	0	20	0	0.0	0.0	0.0	284
etv5b	20	0	0	20	0	0.0	0.0	0.0	285
cst3	20	0	0	20	0	0.0	0.0	0.0	286
mycla	20	0	0	20	0	0.0	0.0	0.0	287
baz1b	20	0	0	20	0	0.0	0.0	0.0	288
zfand5a	20	2	0	18	0	0.0	0.0	0.0	289
arl4aa	20	0	0	20	0	0.0	0.0	0.0	290
mcm7	20	0	0	20	0	0.0	0.0	0.0	291
aurkb	20	0	0	20	0	0.0	0.0	0.0	292
sall1a	20	0	0	20	0	0.0	0.0	0.0	293
ncapd2	20	0	0	20	0	0.0	0.0	0.0	294
ednraa	20	0	0	20	0	0.0	0.0	0.0	295
arl6ip5a	20	0	0	20	0	0.0	0.0	0.0	296
lamp2	20	0	0	20	0	0.0	0.0	0.0	297
rpl38	20	0	0	20	0	0.0	0.0	0.0	298
arl4ab	20	0	0	20	0	0.0	0.0	0.0	299
wnt8a	20	0	0	20	0	0.0	0.0	0.0	300
cxcl12b	20	0	0	20	0	0.0	0.0	0.0	301
prox1a	20	0	0	20	0	0.0	0.0	0.0	302
