scenario	seed	fold	spatial_r2	elastic_r2	best_single_r2	gain	strength
redundant	20260834	4	-0.2051430545728521	-0.2051428207381682	-0.5794054226641123	-2.3383468389370776e-07	0.0
complementary	20260814	1	0.7753992357633722	0.7753992599223335	-1.10132954595861	-2.415896127594408e-08	0.0
complementary	20260814	0	0.8499529102708056	0.8499529023626945	-0.3917913463542932	7.908111054888423e-09	0.0
complementary	20260814	2	0.6129361742750226	0.6129361975820571	0.1070179057342561	-2.330703452457783e-08	0.0
complementary	20260814	3	0.858162378800917	0.858162390801747	-0.6890924378201306	-1.2000830107439242e-08	0.0
complementary	20260814	4	0.7935845685041882	0.7935845363546967	-0.5167457685644441	3.214949151342239e-08	0.0
complementary	20260824	0	0.8313793009871717	0.8313793278298066	0.1570944462648418	-2.684263489260985e-08	0.0
complementary	20260824	1	0.8415112717946908	0.8415113059027097	-0.9618569901062012	-3.410801896475135e-08	0.0
complementary	20260824	2	0.6807369347586014	0.6807369186139283	0.2683060620233214	1.614467315391721e-08	0.0
complementary	20260824	4	0.8316771863029138	0.8316770953623132	-0.4975916692780373	9.09406006055491e-08	0.0
complementary	20260824	3	0.8345423551740265	0.834542408405234	-0.6030488225937711	-5.323120744193943e-08	0.0
complementary	20260834	0	0.8104662107408084	0.8104662648510679	-0.4777058806022698	-5.411025949531023e-08	0.0
complementary	20260834	1	0.8010676770751135	0.8010676055318484	-0.8598629162758171	7.154326508995723e-08	0.0
complementary	20260834	2	0.6008951773908684	0.6008951869206246	0.219549523291923	-9.52975620638341e-09	0.0
complementary	20260834	3	0.7980372943350011	0.7980373587651752	-0.7773962023234888	-6.443017408486185e-08	0.0
complementary	20260834	4	0.925676180191364	0.9269588476443102	0.1437247885348033	-0.0012826674529462512	1.0
partial_switching	20260814	1	0.5627634389661129	0.5627632613455259	-1.0483846595536166	1.776205870163139e-07	0.0
partial_switching	20260814	0	0.711288685331125	0.7112886010653507	-0.2384434979740943	8.426577424724968e-08	0.0
partial_switching	20260814	2	0.1948168754129997	0.1948170073611992	0.2029286085966017	-1.3194819950546055e-07	0.0
partial_switching	20260814	3	0.6877406206751815	0.6877405965817254	-0.6823180602965118	2.409345611908975e-08	0.0
partial_switching	20260814	4	0.6822576753473895	0.6822575466340074	-0.4040514196724172	1.2871338206377203e-07	0.0
partial_switching	20260824	1	0.6310330061002607	0.6310331095388804	-0.980941370660484	-1.0343861966966017e-07	0.0
partial_switching	20260824	0	0.678224793954267	0.6782246182557929	0.0090103713812654	1.7569847410303652e-07	0.0
