cell	x	y	z	x_standardized	y_standardized	z_standardized	domain
E1_210.0	748.9766234172811	-983.0845147384193	-10.613653566396888	-0.09268310200313094	-0.8566515631447259	-1.567365751233153	0
E1_212.0	758.7553081796933	-990.2825941012895	-0.00809231830036711	-0.0028549957720543327	-0.8723345879824298	-1.4314453514771623	0
E1_213.0	749.0990482885616	-992.9772332424614	110.40481159967548	-0.09155849326382676	-0.8782056114109343	-0.016398501274437465	0
E1_215.0	774.5509747500624	-1011.1764114988623	-13.779346674999228	0.142245787119301	-0.9178576005364234	-1.6079371328659016	0
E1_216.0	771.550895036719	-1013.6651570157164	24.321621645629623	0.11468671493939024	-0.9232800272405357	-1.1196368228601792	0
E1_217.0	747.1413354024523	-1004.117985680957	-24.239918582571597	-0.10954226566022678	-0.9024788499229875	-1.7419993557028783	0
E1_218.0	728.6282847431524	-1005.9862217815137	17.6983640520699	-0.2796052466939523	-0.906549323682816	-1.204520196662307	0
E1_219.0	703.9195913504394	-999.146957969619	-11.203591540851608	-0.5065821038929161	-0.8916480786664256	-1.5749263699918739	0
E1_220.0	756.7034898333792	-1038.718987600392	-1.4155588128972405	-0.021703231588801365	-0.977866789560202	-1.4494833792734851	0
E1_221.0	774.4980693319222	-1042.0964461928186	23.892315103679145	0.14175979195365615	-0.9852255257345447	-1.1251387963469897	0
E1_222.0	768.3249617623925	-1046.2553008039583	0.6252610968959432	0.08505292635726577	-0.9942867512191296	-1.4233283223670097	0
E1_224.0	748.799000724829	-1040.6258527940115	34.848944947488825	-0.09431476418207348	-0.9820214275804424	-0.9847191171323403	0
E1_225.0	723.998578165703	-1020.935280120266	18.65894452389877	-0.32213425589735944	-0.9391200194765135	-1.1922094401945895	0
E1_226.0	715.0627235536413	-1021.1152086127404	-29.390516324628596	-0.4042200288678875	-0.9395120439144548	-1.8080091865553791	0
E1_227.0	737.6319688880922	-1035.4766849473451	-3.452231497544475	-0.19689638394877562	-0.9708025283211024	-1.475585285527531	0
E1_229.0	705.13987015494	-1012.7568328381811	-21.142532480593776	-0.49537248452737986	-0.921300989511325	-1.702303393619303	0
E1_232.0	726.6647030537049	-1029.6943730649455	36.75380222307814	-0.2976429305828008	-0.9582041480727824	-0.9603065512794321	0
E1_233.0	767.5320644149236	-1057.2524006550088	6.175562836918646	0.07776928148177631	-1.01824700247676	-1.352195902910599	0
E1_234.0	723.060159738744	-1031.7004805981328	-16.227394786718072	-0.33075467389775254	-0.9625750132277807	-1.6393112082385222	0
E1_235.0	749.0343424439882	-1048.5181869990486	17.681207330612956	-0.09215288848376997	-0.9992170803546431	-1.2047400764389993	0
E1_236.0	663.9890865629122	-1000.8576227928827	66.50468183994725	-0.8733882453181849	-0.8953752394213651	-0.5790206055362992	0
E1_238.0	746.6302223614257	-1064.3980962890578	46.734696452467354	-0.11423740796831201	-1.0338158947412064	-0.832391856163761	0
E1_239.0	771.7360527126019	-1076.4305031373865	11.607409207143546	0.11638759432990321	-1.0600318512410876	-1.2825816021882677	0
E1_240.0	734.1042051783476	-1061.793323283039	4.917367565087122	-0.2293028211104642	-1.0281406697692932	-1.3683208773761544	0
E1_241.0	756.6150224375762	-1082.0120548391542	-33.07794971734407	-0.022515903110714858	-1.0721928194048016	-1.8552671683902802	0
E1_242.0	759.5565601180107	-1080.3996907278718	20.682562265030427	0.0045053953216118445	-1.0686798341861192	-1.1662748455141527	0
E1_243.0	747.8349112736726	-1084.08994568453	27.742442361104988	-0.10317099911947858	-1.0767200845397433	-1.0757957372010456	0
E1_244.0	770.7697997384399	-1103.1999426464254	-10.031556567812633	0.10751148502502511	-1.1183565464198113	-1.5599056220713383	0
E1_245.0	775.1097185769115	-1150.8941635015458	-8.51041391818887	0.14737847122290187	-1.2222717177562288	-1.540410725744201	0
E1_246.0	751.8463397148207	-1163.6841985996164	-28.68060988906193	-0.06632156293201641	-1.25013837884819	-1.798911057351808	0
