gene	n_links_raw	n_links_pass_filter	control_p99	mask_low_center	mask_high_center	note	n_enhancers_retained	median_difference_structure_score	mean_difference_structure_score	top3_mean_difference_structure_score	max_difference_structure_score	std_difference_structure_score	divergent_fraction_top10pct	gene_divergence_score	rank_eligible	global_divergent_threshold_top10pct	eligible_rank	absolute_divergence_score	absolute_rank
NEFM	45	29	1.97498089313507	0.0229986836844209	0.3834811704875052		29.0	0.2008960911172635	0.2181182324320085	0.3195220132204416	0.3245520725712586	0.0455178020081456	0.0	0.1602389397520158	True	0.8145272979243852	66.0	0.24834645995853474	66.0
MT2A	36	11	1.2548541021347046	0.0039402830823223	0.3001873938285921		11.0	0.2340952217035521	0.2314467952361474	0.2530692861251054	0.255070251977931	0.0166215239344654	0.0	0.1569054102126972	True	0.8145272979243852	67.0	0.2416848474721734	68.0
ADGRG1	62	10	0.9839493632316588	0.0064837215974531	0.3243148503095753		10.0	0.2361666535467918	0.2120502005909599	0.2478998931245554	0.249226530450057	0.0447857348854276	0.0	0.1564416346998556	True	0.8145272979243852	68.0	0.24085994937789723	69.0
NTRK2	114	43	1.5009598636627195	0.0063039399437328	0.3307699155514598		43.0	0.1118845907454868	0.1399481150816939	0.4420903987618492	0.6663894133136202	0.0976664571841484	0.0	0.155276435988657	True	0.8145272979243852	69.0	0.24396691395203177	67.0
S100B	26	5	1.2877369308471684	0.0090542457312654	0.3595941168878797		5.0	0.2241378159488369	0.215921416550693	0.2390079770522191	0.2551459908901525	0.0300796990518236	0.0	0.1494071206425895	True	0.8145272979243852	70.0	0.23008588039018976	70.0
PDGFRA	43	9	1.0164024591445924	0.0012314144596357	0.3706127809108515		9.0	0.2259382810978472	0.2103874776738659	0.2334097660592622	0.2363575481025816	0.0241019748855527	0.0	0.1487277539539544	True	0.8145272979243852	71.0	0.22892687508241322	71.0
MSX1	48	19	1.2953134703636169	0.0011517738622479	0.4149840225322735		19.0	0.2219507459878986	0.2185328441023167	0.2365306899470404	0.2406309639278739	0.0153644928860054	0.0	0.1479129708819195	True	0.8145272979243852	72.0	0.22778272357155532	72.0
BCAN	55	23	1.286511569023132	0.0072739017200451	0.3463138621000944		23.0	0.1713101452737916	0.1918671294946621	0.3124782290734111	0.4893782716651835	0.0670415142112685	0.0	0.1466436153778694	True	0.8145272979243852	73.0	0.2277773787936394	73.0
GOLM1	36	9	1.1319883978366851	0.0138364247532574	0.361027171347009		9.0	0.1994041746136989	0.2195784531903966	0.2565156487125863	0.2685233198792102	0.0278762941688124	0.0	0.1438905820236261	True	0.8145272979243852	74.0	0.22224876425325385	74.0
DDR1	36	5	0.9932629817724185	0.0058113956776315	0.325716988533448		5.0	0.1873470616850315	0.2269210910042904	0.2667830770589645	0.3307328225064685	0.0672619595710421	0.0	0.1416345939387537	True	0.8145272979243852	75.0	0.2191214678346047	75.0
MAFA	51	13	1.490863013267519	0.0062310343983129	0.3812642492144903		13.0	0.1807056308920936	0.1850824729926341	0.2243509609229361	0.2574515658308222	0.026704737953323	0.0	0.1283699925875715	True	0.8145272979243852	76.0	0.1981637629044306	76.0
CD99	17	7	1.3611591291427616	0.0081947579576082	0.3543165698676681		7.0	0.1863756857491245	0.186134232581397	0.2075904885710591	0.2108354619268312	0.022575213216566	0.0	0.1264478964424146	True	0.8145272979243852	77.0	0.19486160687789833	77.0
PDLIM3	42	9	0.6070473858714104	0.0037073103255272	0.3374188606664346		9.0	0.1802846798020998	0.180279328667736	0.1975954096167016	0.2046486295281043	0.0192836367895353	0.0	0.1215127243250153	True	0.8145272979243852	78.0	0.18720897172794054	78.0
