gene	enhancer	enhancer_index	global_concordance	max_regional_concordance	best_domain	local_advantage	regional_specificity	regional_evidence_score	predicted_class	screen_only	initial_spearman_rho	link_pvalue
otx2a	1-50882260-50882760	18	0.10734852779748305	0.05307690265978294	4	-0.05427162513770011	0.03962690864208681	0.0	unsupported	True	0.1273423156932646	3.4412057584849287e-82
otx2a	1-50952977-50953477	19	0.12903410026089904	0.11946528399585102	4	-0.009568816265048019	0.044529487350150665	0.0	unsupported	True	0.1259605434798772	1.893581119444255e-80
cfl1l	13-33642760-33643260	0	0.3035383878739545	0.3251656130578775	4	0.021627225183923016	0.04864689508135012	0.0003421058812475375	unsupported	True	0.285907174473879	0.0
cfl1l	13-33591735-33592235	1	0.37103100614448226	0.4270944054456308	2	0.056063399301148564	0.11275370780961941	0.0026998158437676442	core_concordant	True	0.2787822114840966	0.0
cfl1l	13-33579280-33579780	2	0.3337923958281368	0.39708012937681886	2	0.06328773354868206	0.12850068311442592	0.0032292609000451372	unsupported	True	0.273825488597741	0.0
cfl1l	13-33648960-33649460	3	0.29609007174525387	0.3684184426212215	3	0.07232837087596761	0.11597480883650652	0.0030903929960349615	unsupported	True	0.244222848390318	8.545997254594883e-303
cfl1l	13-33678560-33679060	4	0.22105261335446072	0.23613892538705142	2	0.015086312032590699	0.027853562291619532	9.922735503435369e-05	unsupported	True	0.2405895689003559	1.1769538631308725e-293
cfl1l	13-33616598-33617098	5	0.25991294081073896	0.3086676390926958	1	0.04875469828195683	0.10230236342972196	0.001539548023095825	unsupported	True	0.2370288462365829	7.557015329665866e-285
cfl1l	13-33621347-33621847	6	0.18468346786755266	0.2104277186982943	1	0.02574425083074164	0.03351228021726327	0.00018154620872872887	unsupported	True	0.2177641483790548	1.0154837124471578e-239
cfl1l	13-33595526-33596026	7	0.2085370801979905	0.2473354277867548	3	0.0387983475887643	0.08237791891052879	0.0007905154713377607	unsupported	True	0.2018600892320002	1.2854939813501716e-205
cfl1l	13-33566272-33566772	8	0.25702143124335963	0.30286986953664524	3	0.04584843829328561	0.0555673374445525	0.0007716141892987051	unsupported	True	0.2018560731307079	1.3101678529815616e-205
cfl1l	13-33568315-33568815	9	0.21839581950258238	0.2832419758288597	2	0.0648461563262773	0.151071287222611	0.00277474951321325	unsupported	True	0.1864696852831405	2.839724083350804e-175
cfl1l	13-33590283-33590783	10	0.1456428117582456	0.21796444097867584	0	0.07232162922043026	0.09936206703036017	0.0015662982642632127	unsupported	True	0.1595476348905702	2.4644961539931e-128
cfl1l	13-33592319-33592819	11	0.20115211421948725	0.26028485608060625	2	0.059132741861119	0.10988385284794333	0.0016912616302413854	unsupported	True	0.1545346338822544	1.920131925805623e-120
cfl1l	13-33521138-33521638	12	0.15619964755156726	0.21412876560104585	3	0.05792911804947859	0.05717630275219271	0.0007092314713579021	unsupported	True	0.1544834981332647	2.3039473624215642e-120
cfl1l	13-33694755-33695255	13	0.10553386712296876	0.13665114114039695	3	0.031117274017428184	0.02657521451487843	0.00011300341958479062	unsupported	True	0.1386913083501053	3.1646058304725107e-97
cfl1l	13-33667626-33668126	14	0.15119045876422205	0.19582252467502298	2	0.04463206591080093	0.08710559925146844	0.0007612997866841211	unsupported	True	0.1386015940988794	4.2109284004793394e-97
cfl1l	13-33603891-33604391	15	0.12649165954329838	0.19939829834249187	3	0.07290663879919349	0.08227189838149565	0.0011960244083506614	unsupported	True	0.1259010183473419	2.248162207296114e-80
cfl1l	13-33530533-33531033	16	0.07917646727563984	0.20713929886172663	3	0.1279628315860868	0.16162916238052177	0.004284163786245336	unsupported	True	0.1102243160659902	5.366280002602498e-62
cfl1l	13-33558772-33559272	17	0.10512021032984703	0.16305558857493327	3	0.05793537824508624	0.08501770949536912	0.0008031357079836386	unsupported	True	0.101484911001009	7.883352798843736e-53
cfl1l	13-33679658-33680158	18	0.06286061147385885	0.10779720235620216	1	0.04493659088234331	0.05068342638915487	0.00024551248295980337	unsupported	True	0.0909753785177064	8.068568145705016e-43
cfl1l	13-33685852-33686352	19	0.027695734578770736	0.06240664923318197	4	0.03471091465441123	0.04943843151743918	0.00010709312868563348	unsupported	True	0.0875773349575268	8.086437132546796e-40
znf185	14-14561947-14562447	0	0.2583328829710858	0.35747943283506356	1	0.09914654986397775	0.2076470168229873	0.00735960257124194	regional_candidate	True	0.3386315570681223	0.0
znf185	14-14650606-14651106	1	0.3192151760956235	0.4047814704033873	2	0.0855662943077638	0.13891235554921416	0.004811319786775048	unsupported	True	0.3263300525752279	0.0
znf185	14-14573381-14573881	2	0.36301950918541653	0.39235198340805	1	0.029332474222633464	0.029956126064695943	0.0003447547032251561	core_concordant	True	0.318268494951848	0.0
znf185	14-14647284-14647784	3	0.41486636500103286	0.4536133073861224	1	0.03874694238508952	0.07810923197644615	0.0013728579128138864	core_concordant	True	0.3048619336648202	0.0
znf185	14-14574038-14574538	4	0.297110120821733	0.32179407523959114	2	0.024683954417858145	0.0568950104066544	0.0004519256181352793	unsupported	True	0.2979048256479447	0.0
znf185	14-14664415-14664915	5	0.25739884585128014	0.32524973486339054	0	0.0678508890121104	0.07879207869923369	0.0017388217014244797	unsupported	True	0.2674069731517717	0.0
