gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	core_threshold	mixed_complexity_score	threshold_rank
tcf7l2	20	2	5	13	2	0.034886226139298405	0.9709505944546688	0.12319963977825558	0.35	0.17079096591659748	51
pax6a	20	9	3	8	2	0.026688227665174702	0.9182958340544894	0.07097260959163812	0.35	0.17018488503795334	52
hdlbpa	20	1	5	14	3	0.046071368383576	0.8649735207179272	0.15395134586408155	0.35	0.16913284042327437	53
gata6	20	4	4	12	2	0.0299571002846261	0.8112781244591328	0.08732913184131588	0.35	0.156472798916143	54
grhl2b	20	1	6	13	3	0.0420583184715717	0.7219280948873623	0.1409255376578197	0.35	0.1548225274580412	55
msx3	20	1	4	15	3	0.0436737233209214	0.946394630357186	0.1368123629163027	0.35	0.15030374314157133	56
mych	20	2	4	14	3	0.0326231322908173	0.946394630357186	0.1021952669718861	0.35	0.14167272233626751	57
gata2a	20	4	2	14	2	0.035683308246005005	1.0	0.07840424187878639	0.35	0.14048154281396233	58
tbxta	20	4	3	13	2	0.0290999993925722	0.9182958340544894	0.07738628888800038	0.35	0.1386576159034925	59
msx1b	20	2	4	14	2	0.0323460956240017	0.8112781244591328	0.09429338695874756	0.35	0.13071839063180757	60
rrbp1b	14	1	2	11	2	0.0538785278521252	1.0	0.11838322558738353	0.35	0.13005726640246856	61
zbtb18	20	1	6	13	1	0.0552948310677843	0.0	0.10759877296510051	0.35	0.1182093342250694	62
foxc1b	20	6	2	12	2	0.0225914122697485	1.0	0.049638406275826434	0.35	0.10322016407273456	63
anp32e	20	1	3	16	1	0.06607489618207721	0.0	0.09159925598879583	0.35	0.10063206826214705	64
lmo2	20	2	3	15	2	0.0262988960208096	0.9182958340544894	0.06993725111284144	0.35	0.09695361684995787	65
six4b	20	5	3	12	2	0.0177929379358288	0.9182958340544894	0.04731716371168624	0.35	0.09207494909108203	66
pmp22b	20	4	3	13	1	0.0307852289317722	0.0	0.04267738927390071	0.35	0.07646761635344343	67
mycn	20	10	2	8	2	0.013751632967958	1.0	0.030215425935704338	0.35	0.07508251283380853	68
fscn1a	20	1	3	16	3	0.0241580694028289	0.9999999999999998	0.06698039077736932	0.35	0.07358548040781006	69
bmp4	20	1	3	16	1	0.04744658348686889	0.0	0.06577493114225046	0.35	0.0722611476391751	70
hoxb1b	20	3	3	14	2	0.0162269864536373	0.9182958340544894	0.043152793391582525	0.35	0.06945174171184862	71
mab21l2	20	8	2	10	2	0.0137207876487753	1.0	0.03014765184230033	0.35	0.06941753372085523	72
pbx4	20	2	2	16	2	0.0221242975413801	1.0	0.048612050314219654	0.35	0.06739061123307911	73
lima1a	20	1	3	16	1	0.041802317265366505	0.0	0.05795031670672223	0.35	0.0636649300662139	74
foxb1a	20	4	2	14	2	0.015107575536435	1.0	0.0331947362726184	0.35	0.059476983044992014	75
foxh1	20	2	3	15	1	0.0309400761348307	0.0	0.0428920530783359	0.35	0.0594610113193521	76
cd63	20	1	3	16	1	0.038666101691501795	0.0	0.0536025987414172	0.35	0.05888847368186669	77
otx2a	20	1	3	16	2	0.0200745950116151	0.9182958340544894	0.053384826161714256	0.35	0.05864922604967008	78
tbxtb	20	1	3	16	1	0.0363431400878279	0.0	0.05038229016914606	0.35	0.05535060311106636	79
notch1a	20	2	2	16	2	0.0180031750545651	1.0	0.03955701869997677	0.35	0.05483767196649186	80
rreb1a	20	1	3	16	2	0.0186141939655283	0.9182958340544894	0.049501148512096915	0.35	0.05438257005857479	81
pax3a	20	2	2	16	2	0.016950381822327498	1.0	0.037243795535251076	0.35	0.05163086373722072	82
lhx5	20	4	2	14	1	0.024183077018238602	0.0	0.02656782559004428	0.35	0.04760315307776128	83
